Project Name,Package Name,Class Name,Class Type,Class Visibility,Is Abstract,Is Static,Is Final,Is Interface,Extends,Implements,Children,Fields,Methods,Overrides,Static Methods,final Methods , Abstract Methods, Association, Aggregation, Delegation, Composition, Instantiation, API
axon-server-se-master,io.axoniq.axonserver.access,ApplicationBinding,1,1,0,0,0,false,0 ,0 ,0 ,name: String ,name{ Params :  Returns : String} toString{ Params :  Returns : String} ,toString ,,,,,String ,,String ,,null
axon-server-se-master,io.axoniq.axonserver.access.jpa,FunctionRole,1,1,0,0,0,false,0 ,0 ,0 ,id: Long function: String role: Role ,getId{ Params :  Returns : Long} setId{ Params : Long Returns : void} getFunction{ Params :  Returns : String} setFunction{ Params : String Returns : void} getRole{ Params :  Returns : Role} setRole{ Params : Role Returns : void} ,,,,,,Role ,,Role ,,null
axon-server-se-master,io.axoniq.axonserver.access.jpa,PathToFunction,1,1,0,0,0,false,0 ,0 ,0 ,path: String function: String ,getPath{ Params :  Returns : String} setPath{ Params : String Returns : void} getFunction{ Params :  Returns : String} setFunction{ Params : String Returns : void} ,,,,,,String ,,String ,,null
axon-server-se-master,io.axoniq.axonserver.access.jpa,Role,1,1,0,0,0,false,0 ,0 ,0 ,role: String description: String functions: Set<FunctionRole> ,getRole{ Params :  Returns : String} setRole{ Params : String Returns : void} getDescription{ Params :  Returns : String} setDescription{ Params : String Returns : void} getFunctions{ Params :  Returns : Set<FunctionRole>} setFunctions{ Params : Set<FunctionRole> Returns : void} ,,,,,,Set<FunctionRole> ,,Set<FunctionRole> ,,null
axon-server-se-master,io.axoniq.axonserver.access.jpa,User,1,1,0,0,0,false,0 ,0 ,0 ,userName: String password: String enabled: boolean roles: Set<UserRole> ,getUserName{ Params :  Returns : String} setUserName{ Params : String Returns : void} getPassword{ Params :  Returns : String} setPassword{ Params : String Returns : void} isEnabled{ Params :  Returns : boolean} setEnabled{ Params : boolean Returns : void} getRoles{ Params :  Returns : Set<UserRole>} setRoles{ Params : Set<UserRole> Returns : void} equals{ Params : Object Returns : boolean} hashCode{ Params :  Returns : int} newContextPermissions{ Params : User Returns : User} removeContext{ Params : String Returns : void} toString{ Params :  Returns : String} ,equals hashCode toString ,newContextPermissions ,,,,Set<UserRole> ,,Set<UserRole> ,HashSet UserRole User ,r: 
axon-server-se-master,io.axoniq.axonserver.access.jpa,UserRole,1,1,0,0,0,false,0 ,0 ,0 ,id: Long role: String context: String ,getId{ Params :  Returns : Long} setId{ Params : Long Returns : void} getRole{ Params :  Returns : String} setRole{ Params : String Returns : void} getContext{ Params :  Returns : String} setContext{ Params : String Returns : void} toString{ Params :  Returns : String} parse{ Params : String Returns : UserRole} ,toString ,parse ,,,,String ,,String ,UserRole ,userRole: , "*"
axon-server-se-master,io.axoniq.axonserver.access.roles,FunctionRoleRepository,2,1,0,0,0,true,0 ,0 ,0 ,,findByFunction{ Params : String Returns : Collection<FunctionRole>} ,,,,,,,,,,userRole: , "*"
axon-server-se-master,io.axoniq.axonserver.access.roles,PathToFunctionRepository,2,1,0,0,0,true,0 ,0 ,0 ,,,,,,,,,,,,null
axon-server-se-master,io.axoniq.axonserver.access.roles,RoleController,1,1,0,0,0,false,0 ,0 ,0 ,roleRepository: RoleRepository ,listRoles{ Params :  Returns : List<Role>} ,,,,,,RoleRepository ,,RoleRepository ,,roleRepository: 
axon-server-se-master,io.axoniq.axonserver.access.roles,RoleRepository,2,1,0,0,0,true,0 ,0 ,0 ,,,,,,,,,,,,null
